,Unnamed: 0,Unnamed: 0.1,retro_game_id,year,month,day,st_fl,regseason_fl,playoff_fl,game_type,game_type_des,local_game_time,game_id,home_team_id,away_team_id,home_team_lg,away_team_lg,interleague_fl,park_id,park_name,park_location,inning_number,bat_home_id,outs_ct,pit_mlbid,pit_first_name,pit_last_name,pit_box_name,pit_hand_cd,bat_mlbid,bat_first_name,bat_last_name,bat_box_name,bat_hand_cd,ab_number,start_bases,end_bases,event_outs_ct,pa_ball_ct,pa_strike_ct,pitch_seq,pa_terminal_fl,pa_event_cd,pitch_res,pitch_des,pitch_id,x,y,start_speed,end_speed,sz_top,sz_bot,pfx_x,pfx_z,px,pz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,break_y,break_angle,break_length,pitch_type,pitch_type_seq,type_confidence,zone,spin_dir,spin_rate,sv_id
852,534152,2431,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",3,0,2,506433,Yu,Darvish,Darvish,R,502143,Danny,Valencia,Valencia,R,20,___,1__,2,0,2,SSB,F,20,B,Ball,155,77.51,191.83,95.9,89.1,3.59,1.64,-2.41,13.18,1.036,1.739,-2.2159999999999997,50.0,5.461,9.906,-140.00799999999998,-9.33,-4.85,27.969,-5.617999999999999,23.8,21.3,1.6,FF,FT|FC|FF,0.899,14.0,190.34799999999998,2797.285,160817_200345
853,534153,2432,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",3,0,2,506433,Yu,Darvish,Darvish,R,502143,Danny,Valencia,Valencia,R,20,___,1__,2,1,2,SSBX,T,20,X,"In play, no out",156,101.33,170.15,89.7,83.6,3.59,1.64,4.5,2.62,0.41100000000000003,2.542,-2.388,50.0,5.818,5.763,-131.34799999999998,-3.2489999999999997,7.9270000000000005,25.482,-27.478,23.9,-17.6,6.8,FC,FT|FC|FF|FC,0.902,6.0,120.64299999999999,1017.669,160817_200412
854,534154,2433,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",3,0,2,506433,Yu,Darvish,Darvish,R,519390,Stephen,Vogt,Vogt,L,21,1__,12_,2,0,0,S,F,20,S,Called Strike,160,126.87,173.55,91.6,85.0,3.18,1.49,-6.21,7.26,-0.259,2.416,-2.18,50.0,5.691,7.247000000000001,-134.10299999999998,-5.162999999999999,-11.397,26.915,-18.784000000000002,23.8,26.8,4.9,FT,FT,0.902,4.0,220.40200000000002,1902.269,160817_200457
855,534155,2434,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",3,0,2,506433,Yu,Darvish,Darvish,R,519390,Stephen,Vogt,Vogt,L,21,1__,12_,2,0,1,SX,T,20,X,"In play, no out",161,105.79,163.96,94.1,88.0,3.34,1.49,-1.17,10.59,0.294,2.7710000000000004,-2.177,50.0,5.685,7.19,-137.665,-5.9110000000000005,-2.291,24.893,-11.368,23.9,4.7,2.6,FF,FT|FF,0.9,3.0,186.282,2205.8920000000007,160817_200519
856,534156,2435,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",3,0,2,506433,Yu,Darvish,Darvish,R,501981,Khris,Davis,"Davis, K",R,22,12_,___,3,0,0,S,F,2,S,Foul,166,139.03,188.24,94.1,87.6,3.57,1.61,-6.29,8.57,-0.578,1.8719999999999999,-2.278,50.0,5.563,6.8770000000000024,-137.65,-7.2520000000000024,-12.212,27.049,-15.453,23.9,32.9,4.2,FT,FT,0.9009999999999999,7.0,216.141,2182.304,160817_200608
857,534157,2436,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",3,0,2,506433,Yu,Darvish,Darvish,R,501981,Khris,Davis,"Davis, K",R,22,12_,___,3,0,1,SB,F,2,B,Ball,167,210.96,192.66,93.4,85.5,3.63,1.61,-8.69,8.48,-2.465,1.7080000000000002,-2.435,50.0,5.51,2.951,-136.721,-7.22,-16.319000000000006,32.417,-16.179000000000002,23.8,41.2,5.1,FT,FT|FT,0.899,13.0,225.574,2424.736,160817_200646
858,534158,2437,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",3,0,2,506433,Yu,Darvish,Darvish,R,501981,Khris,Davis,"Davis, K",R,22,12_,___,3,1,1,SBS,F,2,S,Swinging Strike,168,90.47,182.54,94.2,87.0,3.57,1.61,-1.61,11.65,0.696,2.083,-2.267,50.0,5.484,8.639,-137.71,-7.4929999999999986,-3.108,29.436,-9.637,23.8,6.6,2.4,FF,FT|FT|FF,0.897,9.0,187.85,2396.756,160817_200720
859,534159,2438,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",3,0,2,506433,Yu,Darvish,Darvish,R,501981,Khris,Davis,"Davis, K",R,22,12_,___,3,1,2,SBSX,T,2,X,"In play, out(s)",169,133.31,172.77,82.3,77.6,3.57,1.61,7.23,-1.36,-0.428,2.445,-2.69,50.0,5.6960000000000015,3.167,-120.65100000000001,-0.688,10.847999999999999,19.49,-34.148,23.9,-18.2,9.7,SL,FT|FT|FF|SL,0.878,4.0,79.687,1325.851,160817_200818
860,534176,2455,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",4,0,0,506433,Yu,Darvish,Darvish,R,475174,Yonder,Alonso,Alonso,L,26,___,___,1,0,0,B,F,2,B,Ball,201,51.78,175.82,69.3,64.1,3.21,1.47,6.46,-8.54,1.7109999999999999,2.332,-2.101,50.0,6.351,5.916,-101.43,2.281,6.61,19.256,-40.841,23.8,-10.5,16.3,CU,CU,0.8909999999999999,14.0,37.33,1559.0510000000006,160817_201855
861,534177,2456,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",4,0,0,506433,Yu,Darvish,Darvish,R,475174,Yonder,Alonso,Alonso,L,26,___,___,1,1,0,BS,F,2,S,Foul,202,135.18,161.43,90.1,83.9,3.33,1.47,-0.77,11.14,-0.47700000000000004,2.865,-2.362,50.0,5.739,5.199,-131.955,-5.195,-1.3719999999999999,24.73,-12.208,23.9,1.9,3.0,FF,CU|FF,0.9159999999999999,1.0,183.929,2200.343,160817_201912
862,534178,2457,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",4,0,0,506433,Yu,Darvish,Darvish,R,475174,Yonder,Alonso,Alonso,L,26,___,___,1,1,1,BSX,T,2,X,"In play, out(s)",203,118.3,166.18,91.5,84.8,3.33,1.47,-0.53,12.25,-0.034,2.6889999999999996,-2.314,50.0,5.72,6.229,-133.889,-6.2120000000000015,-0.9670000000000001,26.724,-9.687000000000001,23.8,-1.3,2.4,FF,CU|FF|FF,0.903,5.0,182.46,2438.8779999999997,160817_201940
863,534179,2458,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",4,0,1,506433,Yu,Darvish,Darvish,R,543760,Marcus,Semien,Semien,R,27,___,___,2,0,0,B,F,2,B,Ball,207,168.38,168.18,70.0,65.1,3.35,1.59,7.58,-9.97,-1.348,2.615,-2.355,50.0,6.249,0.049,-102.641,3.2110000000000003,8.036,17.945999999999994,-42.674,23.8,-10.8,16.4,CU,CU,0.8909999999999999,11.0,37.427,1868.9,160817_202030
864,534180,2459,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",4,0,1,506433,Yu,Darvish,Darvish,R,543760,Marcus,Semien,Semien,R,27,___,___,2,1,0,BX,T,2,X,"In play, out(s)",208,128.74,183.92,76.9,71.9,3.46,1.61,10.77,-4.3,-0.308,2.032,-2.647,50.0,5.82,2.092,-112.78299999999999,0.009000000000000001,13.895999999999999,20.221,-37.643,23.9,-20.6,12.6,SL,CU|SL,0.883,7.0,68.517,1920.965,160817_202046
865,534181,2460,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",4,0,2,506433,Yu,Darvish,Darvish,R,592387,Ryon,Healy,"Healy, R",R,28,___,___,3,0,0,B,F,3,B,Ball,212,93.9,217.86,92.2,85.7,3.41,1.63,-7.23,10.0,0.606,0.775,-2.095,50.0,5.718,9.714,-134.507,-10.637,-13.392000000000001,26.285,-13.589,23.8,36.6,4.2,FT,FT,0.9009999999999999,14.0,215.775,2470.772,160817_202129
866,534182,2461,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",4,0,2,506433,Yu,Darvish,Darvish,R,592387,Ryon,Healy,"Healy, R",R,28,___,___,3,1,0,BS,F,3,S,Called Strike,213,143.45,167.2,91.1,84.4,3.51,1.63,-6.96,5.57,-0.6940000000000001,2.6510000000000002,-2.329,50.0,5.709,6.705,-133.392,-3.904,-12.620999999999999,27.15,-22.006999999999998,23.8,26.4,5.7,FT,FT|FT,0.898,4.0,231.146,1762.655,160817_202155
867,534183,2462,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",4,0,2,506433,Yu,Darvish,Darvish,R,592387,Ryon,Healy,"Healy, R",R,28,___,___,3,1,1,BSB,F,3,B,Ball,214,137.66,206.62,91.5,85.8,3.51,1.63,-5.27,7.53,-0.542,1.1909999999999998,-2.355,50.0,5.602,6.653,-133.745,-8.326,-9.724,23.593000000000004,-18.189,23.9,23.7,4.7,FT,FT|FT|FT,0.905,13.0,214.81,1847.6760000000002,160817_202217
868,534184,2463,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",4,0,2,506433,Yu,Darvish,Darvish,R,592387,Ryon,Healy,"Healy, R",R,28,___,___,3,2,1,BSBS,F,3,S,Swinging Strike,215,134.5,155.7,91.8,84.9,3.51,1.63,-2.84,11.58,-0.45899999999999996,3.077,-2.479,50.0,5.566,6.358,-134.373,-4.599,-5.233,27.151,-10.773,23.8,18.8,2.7,FF,FT|FT|FT|FF,0.902,1.0,193.739,2378.6710000000007,160817_202237
869,534185,2464,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",4,0,2,506433,Yu,Darvish,Darvish,R,592387,Ryon,Healy,"Healy, R",R,28,___,___,3,2,2,BSBSS,T,3,S,Foul Tip,216,102.67,174.9,93.6,86.6,3.51,1.63,-2.0,12.98,0.376,2.366,-2.399,50.0,5.52,8.224,-136.903,-7.2010000000000005,-3.8160000000000003,28.304000000000002,-7.305,23.8,13.7,1.9,FF,FT|FT|FT|FF|FF,0.8959999999999999,6.0,188.722,2666.2509999999997,160817_202303
870,534194,2473,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",5,0,0,506433,Yu,Darvish,Darvish,R,519295,Jake,Smolinski,Smolinski,R,33,___,___,0,0,0,B,F,23,B,Ball,243,125.39,215.16,89.9,83.9,3.39,1.54,-8.35,10.79,-0.22,0.875,-2.125,50.0,5.686,7.8039999999999985,-131.30100000000002,-10.052,-14.795,24.049,-12.997,23.9,42.3,4.6,FT,FT,0.894,13.0,217.649,2676.23,160817_203250
871,534195,2474,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",5,0,0,506433,Yu,Darvish,Darvish,R,519295,Jake,Smolinski,Smolinski,R,33,___,___,0,1,0,BB,F,23,B,Ball,244,125.35,192.93,88.6,82.8,3.33,1.4,-6.55,10.52,-0.21899999999999997,1.6980000000000002,-2.29,50.0,5.649,7.53,-129.483,-7.471,-11.318,22.506,-13.918,23.9,33.5,4.3,FT,FT|FT,0.922,8.0,211.796,2406.679,160817_203313
872,534196,2475,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",5,0,0,506433,Yu,Darvish,Darvish,R,519295,Jake,Smolinski,Smolinski,R,33,___,___,0,2,0,BBX,T,23,X,"In play, run(s)",245,109.87,158.94,91.4,85.8,3.47,1.54,0.39,10.84,0.187,2.957,-2.395,50.0,5.546,6.7479999999999976,-133.748,-4.648,0.721,22.611,-12.01,23.9,-8.1,2.8,FF,FT|FT|FF,0.8320000000000001,2.0,177.954,2188.613,160817_203334
873,534197,2476,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",5,0,0,506433,Yu,Darvish,Darvish,R,571970,Max,Muncy,Muncy,L,34,___,___,1,0,0,B,F,2,B,Ball,250,142.81,128.3,90.9,84.2,3.34,1.6,-1.78,11.7,-0.677,4.092,-2.333,50.0,5.77,4.985,-133.265,-2.373,-3.236,26.276,-10.866,23.8,11.3,2.6,FF,FF,0.905,11.0,188.63400000000001,2346.282,160817_203422
874,534198,2477,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",5,0,0,506433,Yu,Darvish,Darvish,R,571970,Max,Muncy,Muncy,L,34,___,___,1,1,0,BB,F,2,B,Ball,251,76.79,204.3,90.9,84.1,3.43,1.6,-1.54,12.58,1.055,1.2770000000000001,-2.299,50.0,5.476,9.334,-132.747,-9.214,-2.76,27.046,-9.537,23.8,4.6,2.6,FF,FF|FF,0.904,14.0,186.95,2492.302,160817_203437
875,534199,2478,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",5,0,0,506433,Yu,Darvish,Darvish,R,571970,Max,Muncy,Muncy,L,34,___,___,1,2,0,BBX,T,2,X,"In play, out(s)",252,112.16,180.62,91.4,84.1,3.45,1.6,-2.45,11.76,0.127,2.154,-2.376,50.0,5.564,7.447,-133.629,-6.949,-4.4319999999999995,28.616,-10.828,23.8,13.2,2.8,FF,FF|FF|FF,0.902,8.0,191.72799999999998,2366.916,160817_203456
876,534200,2479,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",5,0,1,506433,Yu,Darvish,Darvish,R,424825,Coco,Crisp,Crisp,L,35,___,___,2,0,0,S,F,3,S,Called Strike,256,129.85,162.64,69.4,63.7,3.27,1.5,10.08,-11.68,-0.337,2.82,-2.2640000000000002,50.0,6.13,1.239,-101.734,4.496,10.312999999999999,20.387999999999998,-44.055,23.8,-13.6,17.7,CU,CU,0.882,1.0,40.958,2243.561,160817_203545
877,534201,2480,TEX201608170,2016,8,17,F,T,F,R,Regular Season,19:05,448674,tex,oak,AL,AL,F,13,Globe Life Park in Arlington,"Arlington, TX",5,0,1,506433,Yu,Darvish,Darvish,R,424825,Coco,Crisp,Crisp,L,35,___,___,2,0,1,SS,F,3,S,Foul,257,109.61,178.79,88.1,82.2,3.32,1.5,3.63,5.34,0.19399999999999998,2.222,-2.463,50.0,5.6320000000000014,5.5870000000000015,-128.984,-4.224,6.181,24.164,-23.00800000000001,23.9,-16.7,5.9,FC,CU|FC,0.9,5.0,146.00799999999995,1243.478,160817_203605
